1	260430688	260430681	260430682	260430683	Player-1	260430681	96	game00001.log	
4	260430688	260430681	260430682	260430683	Player-1	260430681	96	game00004.log	
5	260430688	260430681	260430682	260430683	Player-1	260430681	96	game00005.log	
9	260430688	260430681	260430682	260430683	Player-1	260430681	96	game00009.log	
10	260430688	260430681	260430682	260430683	Player-0	260430688	91	game00010.log	
11	260430688	260430681	260430682	260430683	Player-0	260430688	84	game00011.log	
12	260430688	260430681	260430682	260430683	Player-0	260430688	74	game00012.log	
13	260430688	260430681	260426037	260426037	Player-1	260430681	68	game00013.log	
14	260430688	260430681	260426037	260426037	Player-0	260430688	70	game00014.log	
15	260430688	260430681	260424943	260424943	Player-1	260430681	85	game00015.log	
16	260430688	260430681	260424943	260424943	Player-0	260430688	75	game00016.log	
17	260430688	260424943	260424943	260430681	Player-0	260430688	87	game00017.log	
18	260430688	260424943	260424943	260430681	Player-1	260424943	79	game00018.log	
19	260424943	260426037	260426037	260424943	Player-1	260426037	54	game00019.log	
20	260430688	260424943	260424943	260430681	Player-1	260424943	105	game00020.log	
21	260424943	260426037	260426037	260424943	Player-1	260426037	66	game00021.log	
23	260430688	260430681	260424943	260426037	Player-1	260430681	70	game00023.log	
25	260426037	260430688	260430681	260424943	Player-1	260430688	74	game00025.log	
26	260426037	260430688	260430681	260424943	Player-0	260426037	65	game00026.log	
28	260430688	260430688	260430688	260430688	Player-1	260430688	39	game00028.log	DISCONNECTION Player-3
29	260430688	260430688	260430688	260430688	DRAW	NOBODY	5000	game00029.log	
31	260430688	260430688	260430688	260430688	Player-1	260430688	89	game00031.log	
32	260430688	260430688	260430688	260430688	Player-0	260430688	84	game00032.log	
33	260430688	260430688	260430688	260430688	Player-0	260430688	84	game00033.log	
