# Server version 0.08 running on jdery-S400CA:8123
# Game ID: 12
# Board class: halma.CCBoard
# Timeout: 300000
# Date: Thu Mar 20 23:38:05 EDT 2014
# Player 1: Player-0, 'random', running on localhost
# Player 2: Player-1, 'random', running on localhost
# Player 3: Player-2, 'random', running on localhost
# Player 4: Player-3, 'random', running on localhost
START Player-0 random
START Player-1 random
START Player-2 random
START Player-3 random
2 (1,13) (0,14)
3 (15,8) (15,7)
0 (3,2) (2,3)
1 (10,5) (9,5)
2 (3,11) (4,12)
3 (11,14) (10,15)
0 (4,1) (5,0)
1 (13,4) (13,2)
1 (13,2) (13,0)
1 null null
2 (0,14) (2,14)
2 (2,14) (2,12)
2 (2,12) (2,14)
2 null null
3 (15,12) (14,11)
0 (1,6) (1,7)
1 (13,0) (11,2)
1 null null
2 (4,12) (3,11)
3 (15,7) (14,6)
0 (2,0) (3,0)
1 (7,0) (8,1)
2 (4,11) (5,11)
3 (14,6) (14,7)
0 (2,4) (1,3)
1 (9,5) (8,4)
2 (0,15) (0,14)
3 (15,13) (15,12)
0 (2,2) (1,1)
1 (13,1) (15,1)
1 null null
2 (4,14) (5,14)
3 (14,11) (14,12)
0 (5,0) (5,1)
1 (8,1) (8,2)
2 (3,11) (2,12)
3 (10,15) (9,14)
0 (1,2) (2,1)
1 (15,2) (15,0)
1 null null
2 (0,14) (0,13)
3 (12,10) (11,9)
0 (0,3) (1,2)
1 (14,1) (13,0)
2 (1,15) (3,13)
2 (3,13) (1,15)
2 (1,15) (3,15)
2 (3,15) (1,15)
2 (1,15) (3,13)
2 null null
3 (15,15) (14,14)
0 (1,4) (2,5)
1 (12,1) (10,3)
1 null null
2 (1,14) (0,14)
3 (13,11) (15,13)
3 (15,13) (15,11)
3 (15,11) (15,9)
3 null null
0 (1,0) (0,0)
1 (15,4) (15,6)
1 (15,6) (13,8)
1 null null
2 (2,12) (2,11)
3 (14,7) (13,6)
0 (2,3) (3,4)
1 (13,8) (14,9)
2 (5,14) (6,13)
3 (11,9) (12,10)
0 (2,1) (1,0)
1 (8,2) (8,3)
2 (2,13) (3,14)
3 (14,12) (14,11)
0 (2,5) (2,6)
1 (10,3) (12,1)
1 (12,1) (10,3)
1 (10,3) (12,1)
1 null null
2 (0,14) (1,13)
3 (15,12) (13,10)
3 (13,10) (15,12)
3 (15,12) (13,10)
3 (13,10) (15,8)
3 null null
0 (0,2) (2,0)
0 (2,0) (0,2)
0 (0,2) (2,0)
0 (2,0) (0,2)
0 (0,2) (2,2)
0 (2,2) (0,2)
0 (0,2) (2,4)
0 null null
1 (14,4) (13,5)
2 (2,14) (3,15)
3 (14,11) (14,10)
0 (1,0) (0,1)
1 (14,9) (14,11)
1 (14,11) (14,9)
1 (14,9) (14,11)
1 (14,11) (14,9)
1 (14,9) (14,11)
1 null null
2 (1,11) (3,11)
2 (3,11) (1,11)
2 null null
3 (13,6) (14,6)
0 (1,3) (0,3)
1 (14,11) (13,11)
2 (6,13) (5,12)
3 (9,14) (8,15)
0 (4,0) (3,1)
1 (15,1) (14,0)
2 (0,8) (0,9)
3 (15,14) (13,14)
3 (13,14) (15,14)
3 null null
0 (2,6) (1,5)
1 (15,5) (15,6)
2 (0,9) (0,8)
3 (14,15) (13,14)
0 (3,1) (4,1)
1 (13,11) (13,12)
2 (5,11) (6,11)
3 (11,15) (10,14)
0 (3,0) (2,1)
1 (8,3) (9,4)
2 (2,11) (3,12)
3 (15,14) (14,15)
0 (0,0) (1,0)
1 (13,3) (13,4)
2 (3,12) (2,11)
3 (14,14) (15,14)
0 (4,1) (4,0)
1 (12,1) (12,0)
2 (0,12) (1,12)
3 (14,15) (12,13)
3 (12,13) (14,11)
3 (14,11) (12,13)
3 null null
0 (1,0) (3,2)
0 (3,2) (1,0)
0 null null
1 (13,12) (13,11)
2 (1,8) (0,7)
3 (13,14) (14,14)
0 (1,2) (3,0)
0 null null
1 (8,4) (7,5)
2 (5,12) (5,11)
3 (14,14) (15,13)
0 (2,4) (0,6)
0 (0,6) (2,8)
0 (2,8) (0,6)
0 (0,6) (2,8)
0 (2,8) (0,6)
0 null null
1 (13,0) (13,1)
2 (5,11) (4,10)
3 (10,14) (11,14)
0 (1,0) (1,2)
0 (1,2) (1,0)
0 null null
1 (13,4) (12,3)
2 (4,10) (3,9)
3 (15,8) (14,9)
0 (3,0) (3,1)
1 (15,6) (13,6)
1 null null
2 (3,15) (4,15)
3 (11,12) (12,12)
0 (0,3) (0,5)
0 (0,5) (2,5)
0 (2,5) (4,3)
0 (4,3) (2,5)
0 (2,5) (4,3)
0 null null
1 (10,0) (10,1)
2 (1,13) (2,13)
3 (15,10) (14,11)
0 (0,4) (0,3)
1 (9,4) (9,3)
2 (1,12) (2,12)
3 (12,10) (12,11)
0 (2,1) (2,2)
1 (13,5) (13,7)
1 (13,7) (15,5)
1 (15,5) (13,7)
1 null null
2 (2,15) (3,15)
3 (15,14) (14,14)
0 (4,0) (5,0)
1 (14,0) (12,2)
1 null null
2 (3,9) (4,10)
3 (8,15) (7,15)
0 (4,3) (5,4)
1 (12,2) (11,3)
2 (3,14) (3,12)
2 (3,12) (1,12)
2 (1,12) (1,10)
2 (1,10) (3,12)
2 (3,12) (1,12)
2 (1,12) (3,14)
2 (3,14) (3,12)
2 (3,12) (1,10)
2 null null
3 (14,10) (15,10)
0 (3,1) (3,0)
1 (15,0) (14,1)
2 (2,11) (0,9)
2 (0,9) (2,11)
2 (2,11) (0,11)
2 (0,11) (2,11)
2 (2,11) (0,11)
2 null null
3 (11,14) (12,14)
0 (1,5) (2,4)
1 (13,6) (12,7)
2 (1,10) (2,11)
3 (15,10) (13,12)
3 null null
0 (5,1) (4,0)
1 (10,1) (11,0)
2 (0,11) (1,10)
3 (13,12) (13,10)
3 (13,10) (15,12)
3 (15,12) (13,10)
3 (13,10) (11,12)
3 (11,12) (13,10)
3 null null
0 (5,4) (6,5)
1 (14,1) (13,2)
2 (4,10) (4,9)
3 (15,9) (15,8)
0 (0,1) (0,0)
1 (7,5) (6,4)
2 (0,7) (1,8)
3 (12,12) (12,10)
3 (12,10) (14,10)
3 (14,10) (12,10)
3 null null
0 (2,4) (2,3)
1 (11,2) (12,2)
2 (1,11) (0,11)
3 (12,14) (11,13)
0 (3,4) (4,3)
1 (12,3) (10,3)
1 null null
2 (0,13) (1,14)
3 (14,6) (12,8)
3 (12,8) (14,6)
3 (14,6) (12,8)
3 null null
0 (4,3) (3,2)
1 (11,0) (10,0)
2 (0,11) (0,12)
3 (12,8) (11,9)
0 (0,6) (0,7)
1 (13,11) (11,11)
1 (11,11) (13,9)
1 (13,9) (11,11)
1 (11,11) (13,11)
1 null null
2 (1,14) (0,15)
3 (11,13) (12,14)
0 (1,7) (2,6)
1 (10,3) (12,3)
1 (12,3) (14,1)
1 null null
2 (1,8) (1,9)
3 (12,10) (10,8)
3 null null
0 (2,6) (3,7)
1 (14,1) (15,2)
2 (4,9) (4,8)
3 (15,13) (15,14)
0 (2,2) (1,3)
1 (13,1) (13,3)
1 (13,3) (11,1)
1 null null
2 (0,15) (1,14)
3 (12,14) (12,12)
3 (12,12) (14,10)
3 (14,10) (12,10)
3 (12,10) (14,10)
3 (14,10) (14,8)
3 null null
0 (3,7) (2,8)
1 (12,0) (13,1)
2 (3,15) (5,15)
2 (5,15) (3,15)
2 (3,15) (5,15)
2 (5,15) (3,15)
2 null null
3 (14,8) (12,6)
3 (12,6) (14,8)
3 null null
0 (3,2) (4,2)
1 (11,3) (11,4)
2 (2,12) (3,12)
3 (14,8) (15,7)
0 (4,2) (4,3)
1 (11,4) (9,4)
1 (9,4) (9,2)
1 null null
2 (3,15) (5,15)
2 null null
3 (7,15) (8,14)
0 (3,0) (4,1)
1 (10,4) (8,2)
1 (8,2) (10,2)
1 null null
2 (1,9) (1,11)
2 (1,11) (3,11)
2 null null
3 (11,9) (12,8)
0 (1,0) (0,1)
1 (11,1) (10,1)
2 (4,8) (5,8)
3 (15,7) (14,6)
0 (0,7) (1,7)
1 (13,2) (12,3)
2 (2,11) (2,10)
3 (8,14) (8,15)
0 (4,0) (3,0)
1 (9,3) (8,3)
2 (3,13) (4,14)
3 (12,13) (13,14)
0 (2,8) (2,7)
1 (6,4) (5,4)
2 (2,13) (4,11)
2 (4,11) (2,13)
2 (2,13) (4,11)
2 (4,11) (2,13)
2 null null
3 (14,14) (15,13)
0 (2,3) (1,2)
1 (13,1) (12,0)
2 (5,8) (4,9)
3 (13,10) (14,10)
0 (4,1) (4,0)
1 (12,0) (11,1)
2 (3,11) (2,12)
3 (14,10) (13,9)
0 (1,7) (2,6)
1 (13,7) (14,7)
2 (1,10) (0,9)
3 (12,11) (11,10)
0 (1,1) (1,0)
1 (10,2) (9,1)
2 (2,13) (2,11)
2 (2,11) (4,13)
2 (4,13) (2,11)
2 (2,11) (2,13)
2 (2,13) (2,11)
2 (2,11) (4,13)
2 null null
3 (14,9) (13,8)
0 (6,5) (6,4)
1 (9,2) (10,2)
2 (2,10) (3,11)
3 (13,9) (13,7)
3 (13,7) (15,5)
3 (15,5) (13,7)
3 null null
0 (2,6) (3,7)
1 (9,1) (9,0)
2 (6,11) (5,10)
3 (14,6) (14,8)
3 (14,8) (14,6)
3 (14,6) (14,8)
3 (14,8) (12,6)
3 (12,6) (14,8)
3 (14,8) (12,6)
3 (12,6) (14,8)
3 null null
0 (4,0) (4,1)
GAMEOVER 
WINNER Player-1
# Game ended: Thu Mar 20 23:38:18 EDT 2014
