# Server version 0.08 running on jdery-S400CA:8123
# Game ID: 33
# Board class: halma.CCBoard
# Timeout: 300000
# Date: Thu Mar 27 12:42:38 EDT 2014
# Player 1: Player-0, '260430688', running on localhost
# Player 2: Player-1, '260430688', running on localhost
# Player 3: Player-2, '260430688', running on localhost
# Player 4: Player-3, '260430688', running on localhost
START Player-0 260430688
START Player-1 260430688
START Player-2 260430688
START Player-3 260430688
0 (4,4) (6,6)
0 null null
1 (12,11) (12,13)
1 null null
2 (15,12) (13,12)
2 null null
3 (13,14) (15,12)
3 null null
0 (15,14) (13,14)
0 null null
1 (12,13) (14,11)
1 null null
2 (13,12) (15,14)
2 null null
3 (14,15) (12,13)
3 null null
0 (14,14) (14,15)
1 (15,10) (13,12)
1 null null
2 (13,13) (14,14)
3 (15,15) (13,13)
3 null null
0 (14,15) (15,15)
1 (13,12) (15,10)
1 null null
2 (14,14) (14,15)
3 (12,12) (14,14)
3 null null
0 (5,5) (7,7)
0 null null
1 (15,10) (13,12)
1 null null
2 (2,15) (4,13)
2 null null
3 (14,14) (12,12)
3 null null
0 (15,15) (14,14)
1 (13,12) (15,10)
1 null null
2 (14,15) (15,15)
3 (12,13) (14,15)
3 null null
0 (6,6) (8,8)
0 null null
1 (15,10) (13,12)
1 null null
2 (3,14) (5,12)
2 null null
3 (14,15) (12,13)
3 null null
0 (14,14) (14,15)
1 (13,12) (15,10)
1 null null
2 (15,15) (14,14)
3 (13,13) (15,15)
3 null null
0 (13,14) (13,13)
1 (15,10) (13,12)
1 null null
2 (15,14) (13,14)
2 null null
3 (15,12) (15,14)
3 null null
0 (7,7) (9,9)
0 null null
1 (13,12) (15,12)
1 null null
2 (13,14) (13,12)
2 null null
3 (15,14) (13,14)
3 null null
0 (14,15) (15,14)
1 (14,11) (13,11)
2 (14,14) (14,15)
3 (12,12) (14,14)
3 null null
0 (8,8) (10,10)
0 null null
1 (13,11) (12,12)
2 (13,12) (14,11)
3 (11,14) (13,12)
3 null null
0 (9,9) (11,11)
0 null null
1 (12,12) (13,11)
2 (14,11) (12,11)
2 null null
3 (14,14) (12,12)
3 null null
0 (13,13) (14,14)
1 (13,11) (13,13)
1 null null
2 (12,11) (13,11)
3 (13,12) (11,14)
3 null null
0 (11,11) (11,13)
0 null null
1 (15,12) (13,12)
1 null null
2 (13,11) (14,11)
3 (13,14) (15,12)
3 null null
0 (15,14) (13,14)
0 null null
1 (13,12) (15,14)
1 null null
2 (14,11) (13,12)
3 (12,13) (14,11)
3 null null
0 (11,13) (12,13)
1 (13,13) (13,11)
1 null null
2 (13,12) (13,13)
3 (11,14) (13,12)
3 null null
0 (12,13) (12,11)
0 null null
1 (13,11) (11,13)
1 null null
2 (14,15) (12,13)
2 null null
3 (12,15) (14,15)
3 null null
0 (13,14) (12,15)
1 (15,14) (13,14)
1 null null
2 (13,13) (13,11)
2 null null
3 (15,15) (13,13)
3 null null
0 (14,14) (15,15)
1 (13,14) (14,14)
2 (12,13) (13,14)
3 (13,12) (15,14)
3 null null
0 (12,11) (12,13)
0 null null
1 (11,13) (11,11)
1 null null
2 (13,14) (13,12)
2 null null
3 (15,14) (13,14)
3 null null
0 (15,15) (15,14)
1 (14,14) (15,15)
2 (13,12) (11,14)
2 null null
3 (12,12) (14,14)
3 null null
0 (10,10) (12,12)
0 null null
1 (11,11) (11,13)
1 null null
2 (11,14) (13,12)
2 null null
3 (13,13) (11,15)
3 null null
0 (12,12) (13,13)
1 (11,13) (12,12)
2 (13,12) (11,14)
2 null null
3 (15,12) (13,12)
3 null null
0 (15,14) (15,12)
0 null null
1 (15,15) (15,14)
